Şarj İstasyonu,Şehir,Latitude,Longitude,last_updated,next_update,estimated_current_kW,cluster
Seyirtepe Restoran Osmaniye,OSMANİYE,37.043641,36.270675,2025-03-17,2025-04-16,50,4
OTOFENIX-NYM Otomotiv,İSTANBUL,41.077669,28.971138,2025-03-17,2025-04-16,50,3
Hilton Bursa,BURSA,40.22797565,29.06155002801054,2025-03-17,2025-04-16,50,3
Maranda Cafe Restaurant,TRABZON,40.960318,39.963883,2025-03-17,2025-04-16,50,1
Köşk Düğün Salonu,ANKARA,39.928035,32.846641,2025-03-17,2025-04-16,50,3
İstanbul Tuzla İTOSB Yönetim Otoparkı,İSTANBUL,40.89976,29.364456,2025-03-17,2025-04-16,50,3
La Blanche Resort Bodrum Kapalı Otopark,MUĞLA,37.014694,27.254744,2025-03-17,2025-04-16,50,0
La Blanche Resort Bodrum Açık Otopark,MUĞLA,37.015212,27.254744,2025-03-17,2025-04-16,50,0
Yükseliş Yapı Market,ANKARA,39.952735,32.860178,2025-03-17,2025-04-16,50,3
BG Grup Enerji,SİVAS,39.753603,37.055944,2025-03-17,2025-04-16,50,1
Delta Petrol,ESKİŞEHİR,39.756377,30.491533,2025-03-17,2025-04-16,50,3
Sakarya Otel,SAKARYA,40.8011499,30.3679365,2025-03-17,2025-04-16,50,3
Belcekız Otel,MUĞLA,36.54576875,29.12466743394814,2025-03-17,2025-04-16,50,0
La Şarapçılık Torbalı,İZMİR,38.196588,27.310197,2025-03-17,2025-04-16,50,2
Burç Restoran,İZMİR,38.194423,26.784242,2025-03-17,2025-04-16,50,2
Çelikal Otomotiv,İZMİR,38.311739,27.164023,2025-03-17,2025-04-16,50,2
Orhangazi Belediyesi Otopark Alanı,BURSA,40.490113,29.309661,2025-03-17,2025-04-16,50,3
Museum Otel,NEVŞEHİR,38.633266,34.806874,2025-03-17,2025-04-16,50,4
Aktaş Otomotiv Bosch Car Servis,ISPARTA,37.808295,30.580778,2025-03-17,2025-04-16,50,0
Oepsaş Eskişehir,ESKİŞEHİR,39.785063,30.501415,2025-03-17,2025-04-16,50,3
Muz Hotel,ANTALYA,36.5567177,31.9673539,2025-03-17,2025-04-16,50,0
Wasa Hotel,ANTALYA,36.5449406,31.9902136936815,2025-03-17,2025-04-16,50,0
Gözüaçık Bosch Car Servis,ÇORUM,40.535365,34.933396,2025-03-17,2025-04-16,50,1
Airport Resort Otel,SAMSUN,41.22447,36.45843,2025-03-17,2025-04-16,53,1
Usta Araç Otomotiv,KOCAELİ,40.768767,29.9413,2025-03-17,2025-04-16,50,3
V Global,MALATYA,38.340946,38.191157,2025-03-17,2025-04-16,50,4
Monachus Hotel & SPA,ANTALYA,36.808819,31.340006,2025-03-17,2025-04-16,50,0
Çakır Otomotiv Bosch Araç Servisi Kayseri,KAYSERİ,38.736527,35.438071,2025-03-17,2025-04-16,50,4
Risus Country Center,ARTVİN,41.495668,41.53192,2025-03-17,2025-04-16,64,1
Meta Nikel Fabrika,MANİSA,39.013982,28.161762,2025-03-17,2025-04-16,50,2
Otel Kasrı Beyaz,MARDİN,37.218695,40.620109,2025-03-17,2025-04-16,50,4
Kahyaoğlu Ekspertiz,DENİZLİ,37.795931,29.088976,2025-03-17,2025-04-16,50,0
Otorapor Anıttepe,ANKARA,39.922445,32.837991,2025-03-17,2025-04-16,50,3
Ela Excellence Resort Belek,ANTALYA,36.856033,31.04269,2025-03-17,2025-04-16,50,0
Şahintepesi Restaurant,DENİZLİ,37.729582,29.16797,2025-03-17,2025-04-16,50,0
Taiyou ODTÜ Teknokent,ANKARA,39.908113,32.750881,2025-03-17,2025-04-16,50,3
Renault Elif Otomotiv,KARABÜK,41.216874,32.676003,2025-03-17,2025-04-16,55,3
Vatan Çay,TRABZON,41.0005354,39.6992181,2025-03-17,2025-04-16,50,1
Pentalow Cabin,KOCAELİ,40.73497,30.153618,2025-03-17,2025-04-16,58,3
Selim Sırrı Tarcan Spor Salonu,ANKARA,39.93466595,32.84892783752333,2025-03-17,2025-04-16,50,3
Usluoğlu Mimar Sinan Şubesi,SAMSUN,41.329733,36.281593,2025-03-17,2025-04-16,56,1
My Göbeklitepe Restoran,ŞANLIURFA,37.154992,38.807002,2025-03-17,2025-04-16,50,4
Ahi Group Otomotiv RS Servis,ERZİNCAN,39.740052,39.498028,2025-03-17,2025-04-16,50,1
Korkmaz Galeri İnşaat,ZONGULDAK,41.453029,31.790963,2025-03-17,2025-04-16,59,3
Bursa TVF Cengiz Göllü Voleybol Salonu,BURSA,40.213826,28.982666,2025-03-17,2025-04-16,50,3
Otorapor Mustafakemalpaşa,BURSA,40.033127,28.382125,2025-03-17,2025-04-16,50,3
Erciyes Kültür Merkezi,KAYSERİ,38.699356,35.5292808555607,2025-03-17,2025-04-16,50,4
Ege Sevilen Otel,MANİSA,38.495551,27.735698,2025-03-17,2025-04-16,50,2
Assos Park Hotel,ÇANAKKALE,39.494393,26.370945,2025-03-17,2025-04-16,50,2
Valent Business Otel,BALIKESİR,39.596303,26.960168,2025-03-17,2025-04-16,50,2
Laur Hotels Experience&Elegance,AYDIN,37.345345,27.264103,2025-03-17,2025-04-16,50,0
Club Aqua Plaza Antalya,ANTALYA,36.6559311,31.66195660285133,2025-03-17,2025-04-16,50,0
Soyiç Otel,ESKİŞEHİR,39.7742197,30.5239708,2025-03-17,2025-04-16,50,3
Gençler Oto,MANİSA,38.615114,27.377562,2025-03-17,2025-04-16,50,2
Cycle Çevre Teknolojileri,DÜZCE,40.851361,31.154648,2025-03-17,2025-04-16,50,3
Dosinia Luxury Resort,ANTALYA,36.6931347,30.5692327,2025-03-17,2025-04-16,50,0
Metro Market Eskişehir,ESKİŞEHİR,39.78708,30.478678,2025-03-17,2025-04-16,50,3
Öz Petrol Best Oil,AMASYA,40.649878,35.835242,2025-03-17,2025-04-16,51,1
Migall Gross Market Kayseri,KAYSERİ,38.738825,35.54015,2025-03-17,2025-04-16,50,4
Forsa 2000 AVM,ANTALYA,36.870137,31.016592,2025-03-17,2025-04-16,50,0
